epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.503,1.52644,3.3081,1.29541,0.00363,0.23613,0.19565,0.1386,1.22536,inf,1.03361,0.0003625,0.0003625,0.0003625
2,161.345,1.17232,1.50534,1.06984,0.0087,0.24087,0.22355,0.16086,1.0437,inf,0.97408,0.000730199,0.000730199,0.000730199
3,210.009,1.06521,1.17557,1.02491,0.02059,0.52196,0.41179,0.21151,1.34807,inf,1.0978,0.00109047,0.00109047,0.00109047
4,259.372,1.00741,1.05344,1.01123,0.94742,0.28216,0.78926,0.53036,1.14993,inf,1.00245,0.00121287,0.00121287,0.00121287
5,308.709,0.97887,0.96054,1.00231,0.74237,0.79737,0.80925,0.59582,0.89471,1.07187,0.91764,0.0012005,0.0012005,0.0012005
6,358.595,0.93748,0.87441,0.98404,0.80417,0.83411,0.87887,0.66648,0.81892,0.77599,0.90072,0.00118812,0.00118812,0.00118812
7,407.687,0.93524,0.83079,0.98304,0.79463,0.82918,0.86424,0.66688,0.78368,0.68623,0.88435,0.00117575,0.00117575,0.00117575
8,458.343,0.89514,0.78298,0.96808,0.73374,0.83341,0.8347,0.64048,0.78165,0.74637,0.88439,0.00116337,0.00116337,0.00116337
9,507.331,0.87476,0.75325,0.96539,0.79579,0.83697,0.87111,0.66221,0.83634,0.6728,0.89592,0.001151,0.001151,0.001151
10,556.369,0.87604,0.73701,0.96614,0.83491,0.84393,0.89908,0.69784,0.77086,0.59033,0.89619,0.00113863,0.00113863,0.00113863
11,606.305,0.85805,0.70677,0.96035,0.86784,0.84687,0.91559,0.7451,0.65617,0.53841,0.86245,0.00112625,0.00112625,0.00112625
12,655.057,0.84424,0.69555,0.9573,0.78961,0.86312,0.86115,0.67107,0.73759,0.74356,0.87207,0.00111388,0.00111388,0.00111388
13,703.742,0.85215,0.68863,0.95927,0.87467,0.86223,0.92691,0.75081,0.67441,0.54346,0.86868,0.0011015,0.0011015,0.0011015
14,752.55,0.83445,0.66782,0.9527,0.87104,0.86515,0.92459,0.75527,0.66369,0.51891,0.85937,0.00108913,0.00108913,0.00108913
15,802.714,0.81721,0.65594,0.94789,0.8613,0.88133,0.9318,0.75862,0.6698,0.51692,0.86678,0.00107675,0.00107675,0.00107675
16,851.74,0.80986,0.64553,0.94607,0.85182,0.86982,0.92177,0.74808,0.67469,0.54603,0.86295,0.00106437,0.00106437,0.00106437
